iter	RMSE
0	18.38691219
1	17.57081962
2	16.90209276
3	16.38126688
4	15.97778118
5	15.68455595
6	15.43039492
7	15.2263272
8	15.03464632
9	14.87779353
10	14.70879925
11	14.60220743
12	14.50359223
13	14.36137986
14	14.27543387
15	14.21871899
16	14.13976937
17	14.07883648
18	14.02062199
19	13.97312624
20	13.92884306
21	13.88217077
22	13.84051404
23	13.81029272
24	13.77797703
25	13.74376741
26	13.71365287
27	13.6757223
28	13.64462507
29	13.62389402
30	13.60406566
31	13.57759016
32	13.56055027
33	13.54203405
34	13.50295804
35	13.48203196
36	13.46433845
37	13.43512937
38	13.41513881
39	13.39021448
40	13.36816051
41	13.35497258
42	13.34182616
43	13.32835911
44	13.31022412
45	13.29860762
46	13.27917595
47	13.2680776
48	13.25084258
49	13.22320757
50	13.21573377
51	13.20081247
52	13.18685356
53	13.17352206
54	13.15989186
55	13.14841898
56	13.13742617
57	13.1195631
58	13.10747018
59	13.09163632
60	13.07470512
61	13.06541647
62	13.05388231
63	13.04766517
64	13.03692277
65	13.02750268
66	13.01009272
67	12.99639654
68	12.97859445
69	12.97170766
70	12.96385418
71	12.9472711
72	12.9368715
73	12.92896403
74	12.92281203
75	12.91454243
76	12.90126676
77	12.89085125
78	12.88032188
79	12.87334709
80	12.86669353
81	12.85930493
82	12.85376926
83	12.84248153
84	12.83890945
85	12.82805029
86	12.82194155
87	12.81188628
88	12.80506862
89	12.79961713
90	12.79039623
91	12.78598506
92	12.77602864
93	12.77151648
94	12.76322696
95	12.75415838
96	12.74773355
97	12.73913327
98	12.73272878
99	12.72930174
100	12.72267512
101	12.71242405
102	12.70515155
103	12.70060017
104	12.69477104
105	12.68747582
106	12.67767861
107	12.67013707
108	12.66428593
109	12.65649128
110	12.654139
111	12.64090393
112	12.6362694
113	12.62934075
114	12.61955485
115	12.61488908
116	12.60288279
117	12.59630212
118	12.59516787
119	12.58795442
120	12.58308063
121	12.57467408
122	12.56632826
123	12.55908599
124	12.55522552
125	12.55034706
126	12.54318023
127	12.53820259
128	12.53287353
129	12.52864883
130	12.52385944
131	12.51861139
132	12.51429095
133	12.50775597
134	12.5026517
135	12.49635596
136	12.4894668
137	12.48591879
138	12.47729332
139	12.47368863
140	12.46574318
141	12.46189958
142	12.45392204
143	12.44520721
144	12.43746109
145	12.43322364
146	12.42727427
147	12.42265041
148	12.41678589
149	12.41061042
150	12.40684699
151	12.40196011
152	12.39080484
153	12.38618554
154	12.3833275
155	12.38057832
156	12.37365931
157	12.36874085
158	12.36468055
159	12.35770127
160	12.34939801
161	12.34448753
162	12.33793476
163	12.33146941
164	12.32645619
165	12.3202993
166	12.31537381
167	12.31185108
168	12.30522173
169	12.30093851
170	12.29584261
171	12.29274099
172	12.29035994
173	12.28464169
174	12.2800361
175	12.26906362
176	12.26530009
177	12.26008376
178	12.25734605
179	12.25463784
180	12.253782
181	12.25291774
182	12.24955957
183	12.24675577
184	12.24275375
185	12.23701171
186	12.23244744
187	12.22855022
188	12.22336456
189	12.21957921
190	12.21558157
191	12.20685753
192	12.20583717
193	12.19975233
194	12.1961076
195	12.19228286
196	12.18546905
197	12.18363339
198	12.17979311
199	12.17742906
200	12.16899925
201	12.16427918
202	12.16058489
203	12.1530916
204	12.15140944
205	12.1459473
206	12.1414898
207	12.13675279
208	12.12947525
209	12.12636069
210	12.1227145
211	12.11849298
212	12.11714217
213	12.11456154
214	12.10968743
215	12.10648959
216	12.0969102
217	12.090683
218	12.08406092
219	12.07875359
220	12.07532977
221	12.07393917
222	12.07081414
223	12.06492167
224	12.06194129
225	12.06032172
226	12.05721906
227	12.05108525
228	12.04642322
229	12.0422974
230	12.03898537
231	12.03155523
232	12.03020959
233	12.02910025
234	12.02671885
235	12.02369902
236	12.01840564
237	12.01547635
238	12.01402263
239	12.01143491
240	12.00431433
241	12.00302311
242	11.99898812
243	11.99430914
244	11.99152642
245	11.98950447
246	11.98769516
247	11.98322486
248	11.98125669
249	11.97696294
250	11.97410281
251	11.9672343
252	11.96196063
253	11.95549901
254	11.95265217
255	11.9486748
256	11.94347878
257	11.93511273
258	11.93443581
259	11.93226736
260	11.92906917
261	11.92517283
262	11.92149646
263	11.92115518
264	11.91713734
265	11.91170373
266	11.90918956
267	11.90537037
268	11.9022968
269	11.89846612
270	11.89011999
271	11.88472043
272	11.88123987
273	11.87619348
274	11.87369387
275	11.87056449
276	11.86255802
277	11.85949502
278	11.84960719
279	11.84463111
280	11.83884228
281	11.83259314
282	11.82776383
283	11.82623306
284	11.82224564
285	11.81876083
286	11.81714057
287	11.81303845
288	11.8116783
289	11.80669439
290	11.80336662
291	11.79987944
292	11.79430792
293	11.7895368
294	11.78642529
295	11.78325962
296	11.77600719
297	11.77499686
298	11.77382472
299	11.76965814
